,description,label_model
127,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",negatif
128,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",negatif
129,"#BBMMeroketJokowiTurun 
#BBMMeroketJokowiTurun 
@Syam42933824
@PAS0PATl5151_
@freestranger24
@ArbyZakey3
@AtnoSepta
@NegeriJajahan3l
@omo_sugema6
@karyawantree
@Berliannew
@sampalle
@la1laha1llallah
@SimpatisanFPI__
1
SMKIN MUNCAK JK TK DSIKAPI DGN BIJAK?
https://t.co/QlQTH905Ae https://t.co/pSaQQFeKjG",netral
130,"@BarlahW @panca66 Tolak kenaikan BBM, Tuan Putri Puan kembali matikan microfon. ???? https://t.co/m34yl5W0u7",negatif
131,"Tolak Kenaikan Harga BBM ???????
(Gedung DPRD Lamongan Jawa Timur 12/Sept/2022) https://t.co/7YN7s0skGw",negatif
132,"[AKSI TOLAK KENAIKAN HARGA BBM]
??Selasa, 13 September 2022. https://t.co/87I8hudxTw",negatif
133,"Tolak Kenaikan Harga BBM ???????
(Gedung DPRD Lamongan Jawa Timur 12/Sept/2022) https://t.co/7YN7s0skGw",negatif
134,"Aksi Driver Ojol se-Purwakarta ""Tolak Kenaikan Harga BBM"" di depan Gedung DPRD Purwakarta.. (14/Sept/2022) https://t.co/ot48a2SfwN",negatif
135,"Tolak Kenaikan Harga BBM ???????
(Kantor DPRD Lampung Utara 14/Sept/2022) https://t.co/i4kLPhGaPQ",negatif
136,"Soal penolakan kenaikan harga Bahan Bakar Minyak (BBM).
Kepala @KSPgoid @Dr_Moeldoko
mengapresiasi pengunjuk rasa yang menyampaikan aspirasinya soal penyesuaian harga BBM dengan tertib sehingga situasi demonstrasi tetap kondusif.

#PenjagaNKRI https://t.co/DDWYNprFWg",netral
137,"Saling dorong dg Aparat, massa aksi Tolak Kenaikan BBM mencoba masuk ke kantor DPRD Bojonegoro, Jawa Timur.. ??????? (13/Sept/2022) https://t.co/aIvu5IPaah",negatif
138,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",negatif
139,"Demo Mahasiswa Universitas Boyolali Sikapi Kenaikan Harga BBM, Bawa Poster hingga Sampaikan Tuntutan
 
https://t.co/FEG0LNqbof lewat @Tribun_Solo",negatif
140,"https://t.co/VUaIpMN6UR

Hidup mahasiswa! Walaupun aksi kalian tdk diliput tv nasional, tp percayalah, kalian membawa aspirasi rakyat kecil sesungguhnya. Salam perubahan!",negatif
141,"Tolak Kenaikan Harga BBM ???????
(Kantor DPRD Lampung Utara 14/Sept/2022) https://t.co/i4kLPhGaPQ",negatif
142,"Tolak Kenaikan Harga BBM ???????
(Kantor DPRD Lampung Utara 14/Sept/2022) https://t.co/i4kLPhGaPQ",negatif
143,"[Dr. Salim Menyapa NTT]

Seorang tokoh masyarakat di NTT mengapresiasi dan berterima kasih atas sikap Fraksi PKS DPR RI yang menolak kenaikan harga BBM dgn melakukan aksi walk out dr rapat paripurna bbrp waktu lalu.

#DrSalimMenyapaIndonesia 
#DrSalimMenyapaNTT https://t.co/yb4Dkxc18I",positif
144,"Pada hari Rabu, 14 September 2022Mahasiswa Universitas Boyolali menggelar aksi demonstrasi di depan Gedung DPRD Kabupaten Boyolali untuk menolak kebijakan kenaikan harga BBM bersubsidi

#BBMNaikRakyatRevolusi 
#BBM https://t.co/CFjiYF3oV2",negatif
145,"Aliansi Ummat Islam Sumedang ""Tolak Kenaikan Harga BBM"" di depan kantor DPRD Sumedang.. Kemarin..
(13/Sept/2022) https://t.co/iAVOjECh77",negatif
146,"Tokoh masyarakat sekaligus Jawara Bekasi, Bang Damin Sada. 
""Dari 10 partai hanya PKS yang tolak kenaikan BBM bersubsidi"".
Yuk dukung perjuangan PKS untuk #TolakKenaikanHargaBBM
#BatalkanKenaikanBBM 

@PKSejahtera 
@pksjabar 
@PKSBekasi 
@pkstarumajaya 
@pakmul63 
@UryanRiana https://t.co/ST82cwCkcA",netral
147,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",negatif
148,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",negatif
149,"Aksi Driver Ojol se-Purwakarta ""Tolak Kenaikan Harga BBM"" di depan Gedung DPRD Purwakarta.. (14/Sept/2022) https://t.co/ot48a2SfwN",negatif
150,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",negatif
151,"Rekomendasi floral skirt ??
??https://t.co/kkmkR0Lvce

Minggu pagii eriska scorpio PARK JISUNG THANK YOU happy chuseok batalkan kenaikan bbm #QueenElizabeth #BigMouth #BigMouthEp13 #Shopee99 #zonajajan https://t.co/set49RTH30",netral
152,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",negatif
153,"#BBMNaikRakyatRevolusi
element masyarakat menolak kenaikan harga BBM di indonesia.. semoga bsk harga bbm turun harga yaa ?????? 
Harus haris haruusss !!!! https://t.co/sFCBCr7CPx",negatif
154,"Massa yang mengatasnamakan dirinya Aliansi Rakyat Surabaya (ARAS) yang merupakan gabungan dari BEM se-Surabaya dan organisasi lain menggelar aksi unjuk rasa di depan Gedung Grahadi Surabaya menolak kenaikan BBM, Rabu (14/9) siang. (Rec)
#ElshintaNewsAndTalk https://t.co/sHQ2BdwnZ4",negatif
155,Massa mendesak Pemprov dan DPRD DKI untuk menolak kenaikan harga BBM. Massa merusak pagar Balai Kota DKI Jakarta. https://t.co/YGtcWRf4ON,negatif
156,Massa mendesak Pemprov dan DPRD DKI untuk menolak kenaikan harga BBM. Massa merusak pagar Balai Kota DKI Jakarta. https://t.co/YGtcWRf4ON,negatif
157,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",negatif
158,"Untuk mengantisipasi dampak kenaikan harga BBM subsidi, Dinas DKP memberikan rekomendasi bagi nelayan #BBM https://t.co/X38XlPNw90",positif
159,Aksi Demo 13092022 telah usai dan akan kembali lagi dg jumlah masa yg lebih besar jika tuntutan Dibatalkannya Kenaikan Harga BBM tdk dikabulkan. https://t.co/HODVEnhAoA,negatif
160,"Kenaikan harga BBM nyatanya tak menyelesaikan persoalan ??

Justru menambah beban masyarakat yg bisa melemahkan perekonomian nasional ??

Bebann kenaikan harga BBM pun tak main-main ??
-
Rabu Sarapan #BBMNaikRakyatRevolusi ??
-
* Effendi Simbolon BuzzeRp Ning Imaz Bjorka Islam * https://t.co/gguBGHKzKa",negatif
161,"Pasca kenaikan harga BBM, Pemerintah Provinsi Jawa Tengah menggelar rapat koordinasi secara virtual mengenai pengendalian inflasi di daerah yang dipimpin langsung oleh Presiden Joko Widodo. 

#sahabatganjar #ganjarpranowo #Ganjar https://t.co/KAn2AWG7YC",netral
162,Aksi Demo 13092022 telah usai dan akan kembali lagi dg jumlah masa yg lebih besar jika tuntutan Dibatalkannya Kenaikan Harga BBM tdk dikabulkan. https://t.co/HODVEnhAoA,negatif
163,"Tetap Fokus Pada Masalah Rakyat Sekarang ;

?Tolak Kenaikan Harga BBM berSubsidi
?Usut Kasus Sambo Pembantaian Brigadir Jhosua 
?Usut kasus KM 50 Seadil-adilnya
?Usut Uang 11 Ribu Triliun 
?Dll",netral
164,"Panjang umur perjuangan?

LANJUT, Aliansi Mahasiswa &amp; Buruh serta Masyarakat Bersatu Tolak Kenaikan Harga BBM di sekitar Bundaran Patung Kuda, Jakarta 13/09/2022

Jangan ada yg cari banser di barisan ini ya??

Disini hanya ada RAKYAT yg berjuang menentukan nasib bangsa ini?? https://t.co/k9wceFPwks",negatif
165,"Contoh pemimpin sejati.
Gubernur Sumut temui massa demo kenaikan BBM.
""Indonesia tidak dalam kondisi baik2 saja"" https://t.co/c3js2buDmE",positif
166,"Tolak Kenaikan Harga BBM ???????
(Kantor DPRD Lampung Utara 14/Sept/2022) https://t.co/i4kLPhGaPQ",negatif
167,"“Putri Candrawathi tidak ditahan, itu sebagai bukti Sambo melawan”

Bahkan kenaikan BBM dan Bjorka pun dijadikan bahan untuk menutup kasus Sambo, ngeuri jg Sambo ini !! https://t.co/XWvBLfiaEb",netral
168,"Kenaikan BBM mempengaruhi semua golongan masyarakat Indonesia 

Pada demonstrasi kenaikan BBM ini, Polri bertekad akan menghadapinya dengan aksi simpatik dan humanis, sedapat mungkin mengedepankan persuasif dan tidak melakukan kekerasan terhadap peserta Demonstrasi https://t.co/YdePBqTWmy",negatif
169,"Rekomendasi floral skirt ??
??https://t.co/kkmkR0Lvce

Minggu pagii eriska scorpio PARK JISUNG THANK YOU happy chuseok batalkan kenaikan bbm #QueenElizabeth #BigMouth #BigMouthEp13 #Shopee99 #zonajajan https://t.co/set49RTH30",netral
170,"Tolak Kenaikan Harga BBM ???????
(Kantor DPRD Lampung Utara 14/Sept/2022) https://t.co/i4kLPhGaPQ",negatif
171,"Aksi Driver Ojol se-Purwakarta ""Tolak Kenaikan Harga BBM"" di depan Gedung DPRD Purwakarta.. (14/Sept/2022) https://t.co/ot48a2SfwN",negatif
172,Kata ketua PBNU kenaikan BBM bisa dipahami pak. Internal NU tidak kompak? https://t.co/r3PtdZpAE7,netral
173,Terus Bergerak Tolak Kenaikan Harga BBM..!!! https://t.co/loNqtYG43E,negatif
174,"PASCA KENAIKAN HARGA BBM, POLSEK BALEENDAH POLRESTA BANDUNG BAKSOS SEMBAKO BERSAMA MAHASISWA UNIBA

Baleendah - Pasca kenaikan harga BBM, Polsek Baleendah Polresta Bandung melaksanakan bakti sosial (baksos).

Baksos ini dengan membagi-bagikan paket sembako kepada masyarakat yang https://t.co/8DJYcxaUEh",positif
175,"Dari Sleman, PKS Tuntut Batalkan Kenaikan Harga BBM Bersubsidi

“Aksi ini merupakan ungkapan jeritan masyarakat atas kebijakan pemerintah menaikkan harga BBM,” ~ Yani Fathu Rahman

#AksiTolakBBMNaik

https://t.co/axDXFZKfRo",netral
176,"Dewan Pimpinan Cabang Serikat Pekerja Rumpun Melayu Industri Indonesia (DPC SPRMII) Kota Dumai menolak kenaikan BBM.

#BBMNaikRakyatRevolusi https://t.co/yrBQ5CapPH",negatif
177,Aksi Mahasiswa Tolak Kenaikan Harga BBM di Jakarta Berlangsung hingga Malam https://t.co/NRy9UdLHat #TempoFoto,negatif
178,"Massa yang mengatasnamakan dirinya Aliansi Rakyat Surabaya (ARAS) yang merupakan gabungan dari BEM se-Surabaya dan organisasi lain menggelar aksi unjuk rasa di depan Gedung Grahadi Surabaya menolak kenaikan BBM, Rabu (14/9) siang. (Rec)
#ElshintaNewsAndTalk https://t.co/sHQ2BdwnZ4",negatif
179,"Massa yang mengatasnamakan dirinya Aliansi Rakyat Surabaya (ARAS) yang merupakan gabungan dari BEM se-Surabaya dan organisasi lain menggelar aksi unjuk rasa di depan Gedung Grahadi Surabaya menolak kenaikan BBM, Rabu (14/9) siang. (Rec)
#ElshintaNewsAndTalk https://t.co/sHQ2BdwnZ4",negatif
180,Demo mahasiswa buruh Dan Rakyat Yang melawan terus berlanjut menolak kenaikan BBM Di patung Kuda 13-09-2022 https://t.co/qTRPaTCceS,negatif
181,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",negatif
182,Massa mendesak Pemprov dan DPRD DKI untuk menolak kenaikan harga BBM. Massa merusak pagar Balai Kota DKI Jakarta. https://t.co/YGtcWRf4ON,negatif
183,"Aksi Driver Ojol se-Purwakarta ""Tolak Kenaikan Harga BBM"" di depan Gedung DPRD Purwakarta.. (14/Sept/2022) https://t.co/ot48a2SfwN",negatif
184,"Massa yang menggelar demonstrasi menolak kenaikan harga BBM di kawasan Patung Kuda, Jakarta Pusat, masih bertahan. Massa tampak menyalakan flare di lokasi. https://t.co/mLlL3mCF9F",negatif
185,"Tolak Kenaikan Harga BBM ???????
(Tugu Bundaran kota Masohi Maluku 12/Sept/2022) https://t.co/vfpIFlOKrC",negatif
186,"PASCA KENAIKAN HARGA BBM, POLSEK BALEENDAH POLRESTA BANDUNG BAKSOS SEMBAKO BERSAMA MAHASISWA UNIBA

Baleendah - Pasca kenaikan harga BBM, Polsek Baleendah Polresta Bandung melaksanakan bakti sosial (baksos). https://t.co/xgiIAE8HQ3",positif
187,"@budimandjatmiko :

""Demonstrasi sah-sah saja dalam negara demokrasi tidak boleh dilarang. Asalkan jangan keras dan macam-macam,"" 

Jangan macam2 mungkin salah satunya adlh JANGAN ANARKIS, apalagi  ujung2nya MINTA TURUNKAN JOKOWI (Mimpi) ??

https://t.co/",netral
188,@yusuf_dumdum Ini lah penyusup yg disuruh cuap cuap oleh bezzer Rp agar dapat bahan untuk memberitakan bahwa demo yg menolak kenaikan BBM kekerangan logistik trik khas para buzzer Rp unt mengkonter demo penolak kenaikan BBM,negatif
189,"Menteri BUMN rencanakan naikkan gaji karyawan BUMN.
HEBAT !!!
Duitnya dari hasil naiknya BBM?
#BBMMeroketJokowiTurun
#BBMMeroketJokowiTurun

 https://t.co/F5jGOthi2G",netral
190,Kata ketua PBNU kenaikan BBM bisa dipahami pak. Internal NU tidak kompak? https://t.co/r3PtdZpAE7,netral
191,"Indonesia 13 September 2022

Aksi tolak kenaikan harga bbm oleh adek-adek Mahasiswa dan STM tidak tersiar di televisi nasional Indonesia arus utama 

Media televisi dibungkam https://t.co/rMLjvrM5tp",negatif
192,Salam Djoeang kepada Mahasiswa/i yg sedang demo kenaikan harga BBM https://t.co/xAECBcVrQw,negatif
193,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",negatif
194,"Selain memperpanjang masa pencairan bonus direksi. Ada kenaikan upah karyawan BUMN. Kebijakan ini dilakukan menyusul adanya kenaikan harga BBM. Kebijakan terakhir, memasukan sejumlah nama eks direksi BUMN dalam daftar hitam 

#BangkitBersamaET 
@erickthohir https://t.co/sOBUYaOenU",negatif
195,Kata ketua PBNU kenaikan BBM bisa dipahami pak. Internal NU tidak kompak? https://t.co/r3PtdZpAE7,netral
196,"Dari Sleman, PKS Tuntut Batalkan Kenaikan Harga BBM Bersubsidi

“Aksi ini merupakan ungkapan jeritan masyarakat atas kebijakan pemerintah menaikkan harga BBM,” ~ Yani Fathu Rahman

#AksiTolakBBMNaik

https://t.co/axDXFZKfRo",netral
197,"Situasi Aksi Demonstrasi menolak kenaikan harga BBM di Kawasan Patung Kuda, dekat Tugu Monas. Massa Demonstran masih bertahan hingga pukul 20.00 WIB. 
#breakingnews #aktualcom #tolakkenaikanbbm  
#BBMNaikRakyatRevolusi https://t.co/0ZDW0m7Qm1",negatif
198,"Menteri BUMN rencanakan naikkan gaji karyawan BUMN.
HEBAT !!!
Duitnya dari hasil naiknya BBM?
#BBMMeroketJokowiTurun
#BBMMeroketJokowiTurun

 https://t.co/F5jGOthi2G",netral
199,"Demo Tolak Kenaikan BBM, Mahasiswa Sempat Duduki Gedung DPRD Kaltim https://t.co/5iGZCivYLU",negatif
200,"""Ya Allah, berilah kepada Kami rasa takut yang menghalangi Kami (mendekati) kemaksiatan kepadamu …"" (HR. Abu Dawud)   
Kenaikan BBM Menzalimi Rakyat   .?. #l40kd",positif
201,Aksi Demo 13092022 telah usai dan akan kembali lagi dg jumlah masa yg lebih besar jika tuntutan Dibatalkannya Kenaikan Harga BBM tdk dikabulkan. https://t.co/HODVEnhAoA,negatif
202,"Aliansi Ummat Islam Sumedang ""Tolak Kenaikan Harga BBM"" di depan kantor DPRD Sumedang.. Kemarin..
(13/Sept/2022) https://t.co/iAVOjECh77",negatif
203,"Tolak Kenaikan Harga BBM ???????
(Kantor DPRD Lampung Utara 14/Sept/2022) https://t.co/i4kLPhGaPQ",negatif
204,?? LIVE: Aksi Demonstrasi Menolak Kenaikan BBM di Depan Balai Kota DKI Jakarta Terjadi Kericuhan.?? https://t.co/KQa8fk6HfF,negatif
205,"Menteri BUMN rencanakan naikkan gaji karyawan BUMN.
HEBAT !!!
Duitnya dari hasil naiknya BBM?
#BBMMeroketJokowiTurun
#BBMMeroketJokowiTurun

 https://t.co/F5jGOthi2G",netral
206,"Tolak Kenaikan Harga BBM ???????
(Kantor DPRD Lampung Utara 14/Sept/2022) https://t.co/i4kLPhGaPQ",negatif
207,"Tolak Kenaikan Harga BBM ???????
(Kota Pangkalpinang, Bangka Belitung 14/Sept/2022) https://t.co/rhMDRustH9",negatif
208,"Tolak Kenaikan Harga BBM ???????
(Kota Pangkalpinang, Bangka Belitung 14/Sept/2022) https://t.co/rhMDRustH9",negatif
209,Apakah kamu sahabat orang bahagia itu ? :) . .   Kenaikan BBM Menzalimi Rakyat   .?. #YWEsp https://t.co/sPfvrEBEdz,negatif
210,"Dari Sleman, PKS Tuntut Batalkan Kenaikan Harga BBM Bersubsidi

“Aksi ini merupakan ungkapan jeritan masyarakat atas kebijakan pemerintah menaikkan harga BBM,” ~ Yani Fathu Rahman

#AksiTolakBBMNaik

https://t.co/axDXFZKfRo",netral
211,"Pemerintah juga menerima aspirasi seluruh masyarakat, termasuk soal penolakan kenaikan harga bahan bakar minyak (BBM) . 
#PenjagaNKRI 
@Dr_Moeldoko @KSPgoid 
@jokowi Salam Santun ?? https://t.co/r0sIWRSeT9",positif
212,"[PRESIDEN PKS MENYAPA NTT]

Presiden PKS, H. Ahmad Syaikhu, menyapa masyarakat pesisir di Pulau Messah, Suku Bajo.

Dalam kesempatan ini pula, 
Presiden PKS berdiskusi dengan sejumlah warga terkait isu-isu terkini, khususnya respons masyarakat terhadap kenaikan harga BBM. https://t.co/fdYYu64N8l",netral
213,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",negatif
214,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",negatif
215,"Tarif Bus AKAP Melambung Tinggi, Kapitalisasi Fasilitas SDA Sengsarakan Rakyat  | Serba-serbi MMC

Kenaikan BBM jenis Pertalite, Solar, dan Pertamax akhirnya mengerek tarif dasar angkutan Antar Kota Antar Provinsi (AKAP), naik 33 persen. 

https://t.co/0Ch4RqyKfH https://t.co/2HSA0KOKRm",positif
216,"Aliansi Ummat Islam Sumedang ""Tolak Kenaikan Harga BBM"" di depan kantor DPRD Sumedang.. Kemarin..
(13/Sept/2022) https://t.co/iAVOjECh77",negatif
217,"@budimandjatmiko Ktnya lg fokus ngurus pertanian mas, tp msh care mslh ""remeh"" pdhl kenaikan hrg bbm ini a/ isu nasional, ada yg nolak bhkn sampe nangis bombay demi pencitraan, ad jg yg dkung spy terlihat gagah di medsos ????",netral
218,"Soal penolakan kenaikan harga Bahan Bakar Minyak (BBM).
Kepala @KSPgoid @Dr_Moeldoko
mengapresiasi pengunjuk rasa yang menyampaikan aspirasinya soal penyesuaian harga BBM dengan tertib sehingga situasi demonstrasi tetap kondusif.

#PenjagaNKRI https://t.co/DDWYNprFWg",netral
219,"Aksi Penolakan Kenaikan Harga BBM, Bogor yang Sejuk, Kini Memanas! | MMC News 

Rabu kemarin, 7 September 2022 masyarakat menggelar aksi di depan gedung DPRD Kota Bogor. Apa saja yang menjadi tuntutan mereka? Mari kita simak liputan eksklusif berikut ini!

https://t.co/RjigWRM8mO https://t.co/3HPCIvWmpE",negatif
220,"Aceh 12 September 2022

Lihatlah kebrutalan aparat kepolisian menembak kearah mahasiswa dan satu mahasiswa terjatuh, mahasiswa hanya ingin masuk ke kantor DPRD untuk berdiskusi soal tolak kenaikan harga BBM, tugas polisi cukup mengawal bukan menembak dan memukul https://t.co/EyocZOzG8d",negatif
221,"Massa yang mengatasnamakan dirinya Aliansi Rakyat Surabaya (ARAS) yang merupakan gabungan dari BEM se-Surabaya dan organisasi lain menggelar aksi unjuk rasa di depan Gedung Grahadi Surabaya menolak kenaikan BBM, Rabu (14/9) siang. (Rec)
#ElshintaNewsAndTalk https://t.co/sHQ2BdwnZ4",negatif
222,Kata ketua PBNU kenaikan BBM bisa dipahami pak. Internal NU tidak kompak? https://t.co/r3PtdZpAE7,netral
223,"“Putri Candrawathi tidak ditahan, itu sebagai bukti Sambo melawan”

Bahkan kenaikan BBM dan Bjorka pun dijadikan bahan untuk menutup kasus Sambo, ngeuri jg Sambo ini !! https://t.co/XWvBLfiaEb",netral
224,Nama Puan Maharani dibawa-bawa massa pendemo tolak kenaikan harga BBM. Massa menyindir sikap Puan lantaran pernah menangis tolak harga BBM naik pada era SBY. https://t.co/Z768hev6Hk,negatif
225,"@budimandjatmiko :

""Demonstrasi sah-sah saja dalam negara demokrasi tidak boleh dilarang. Asalkan jangan keras dan macam-macam,"" 

Jangan macam2 mungkin salah satunya adlh JANGAN ANARKIS, apalagi  ujung2nya MINTA TURUNKAN JOKOWI (Mimpi) ??

https://t.co/",netral
226,Sampai malam ini mahasiswa masih bertahan di Patung Kuda untuk menyuarakan penolakan terhadap kenaikan harga BBM. https://t.co/Urazh6XeoC,negatif
227,"Pasca kenaikan harga bahan bakar minyak (BBM), pemerintah mengalihkan subsidi BBM agar subsidi yang diberikan tepat sasaran. 

-utas-
#InfoPengawasan https://t.co/57ocFBJul8",positif
228,Nama Puan Maharani dibawa-bawa massa pendemo tolak kenaikan harga BBM. Massa menyindir sikap Puan lantaran pernah menangis tolak harga BBM naik pada era SBY. https://t.co/Z768hev6Hk,negatif
229,Tolak Kenaikan Harga BBM dari Aliansi Buruh di depan Kantor Pemerintah kota Bekasi.. (14/Sept/2022) https://t.co/OPkMdFmSg2,negatif
230,"Aksi Driver Ojol se-Purwakarta ""Tolak Kenaikan Harga BBM"" di depan Gedung DPRD Purwakarta.. (14/Sept/2022) https://t.co/ot48a2SfwN",negatif
231,"Aliansi Ummat Islam Sumedang ""Tolak Kenaikan Harga BBM"" di depan kantor DPRD Sumedang.. Kemarin..
(13/Sept/2022) https://t.co/iAVOjECh77",negatif
232,"MAHASISWA BERSAMA RAKYAT SURABAYA BERGERAK !!!
TOLAK KENAIKAN HARGA BBM !!
Link : 
https://t.co/NhdEgj9ZaV
SEBARKAN TEMAN² !!
TV TIDAK MENYIARKAN !!
SURABAYA BERGERAK !!
ALLAHU AKBAR !!

#BBMNaikRakyatRevolusi 
#BBMNaikRakyatRevolusi https://t.co/zutImkQimL",negatif
233,"Tolak Kenaikan Harga BBM ???????
(Kantor DPRD Lampung Utara 14/Sept/2022) https://t.co/i4kLPhGaPQ",negatif
234,"Tolak Kenaikan Harga BBM ???????
(Kota Pangkalpinang, Bangka Belitung 14/Sept/2022) https://t.co/rhMDRustH9",negatif
235,"Aksi Tolak Kenaikan Harga BBM yang awalnya berjalan kondusif, akhirnya ricuh lagi, di depan gedung DPRD Provinsi Bengkulu.. (13/Sept/2022) https://t.co/suNhVMc9SR",negatif
236,Massa Demo Kenaikan BBM di Balai Kota DKI Bubarkan Diri https://t.co/ej1f3gKkRP,negatif
237,"Menyampaikan aspirasi merupakan hak warga negara yang dilindungi oleh peraturan perundang-undangan. Namun demikian kegiatan tersebut haruslah dilakukan dengan tertib dan tidak mengganggu aktivitas masyarakat lainnya.

Selengkapnya baca di:
https://t.co/xbuyWTglwU https://t.co/R0qGbnBXn4",netral
238,"@budimandjatmiko :

""Demonstrasi sah-sah saja dalam negara demokrasi tidak boleh dilarang. Asalkan jangan keras dan macam-macam,"" 

Jangan macam2 mungkin salah satunya adlh JANGAN ANARKIS, apalagi  ujung2nya MINTA TURUNKAN JOKOWI (Mimpi) ??

https://t.co/",netral
239,"@budimandjatmiko :

""Demonstrasi sah-sah saja dalam negara demokrasi tidak boleh dilarang. Asalkan jangan keras dan macam-macam,"" 

Jangan macam2 mungkin salah satunya adlh JANGAN ANARKIS, apalagi  ujung2nya MINTA TURUNKAN JOKOWI (Mimpi) ??

https://t.co/",netral
240,"Aceh 12 September 2022

Lihatlah kebrutalan aparat kepolisian menembak kearah mahasiswa dan satu mahasiswa terjatuh, mahasiswa hanya ingin masuk ke kantor DPRD untuk berdiskusi soal tolak kenaikan harga BBM, tugas polisi cukup mengawal bukan menembak dan memukul https://t.co/EyocZOzG8d",negatif
241,Massa mendesak Pemprov dan DPRD DKI untuk menolak kenaikan harga BBM. Massa merusak pagar Balai Kota DKI Jakarta. https://t.co/YGtcWRf4ON,negatif
